Date,Amount,Description,Category
16/12/2025,-12.5,GrabFood Delivery,Food & Dining
16/12/2025,-4.8,Toast Box - ION Orchard,Food & Dining
15/12/2025,-88.9,NTUC FairPrice Finest,Groceries
15/12/2025,300,PAYNOW RECEIVED FROM JOHN TAN,Income
14/12/2025,-16,SMRT Corporation Ltd,Transport
14/12/2025,-120,Dec 2025 Singtel Postpaid Bill,Utilities
13/12/2025,-4.5,7-Eleven - Tampines Hub,Miscellaneous
13/12/2025,-25,GYM MEMBERSHIP FEE PULL,Health & Fitness
12/12/2025,-35,ComfortDelGro Taxi Booking,Transport
12/12/2025,-12.9,Netflix Subscription Charge,Subscriptions
11/12/2025,-150,Great Eastern Monthly Insurance,Insurance
11/12/2025,-6.2,Starbucks - Raffles Place,Food & Dining
10/12/2025,-75,SHOPEE SG ORDER #849302,Shopping
10/12/2025,-4.8,Old Chang Kee - Junction 8,Food & Dining
9/12/2025,5000,PAYROLL DEPOSIT ACME CORP,Income
9/12/2025,-1200,UOB Housing Loan Payment,Housing
8/12/2025,-25,Capitaland Mall Voucher Purchase,Miscellaneous
8/12/2025,-12.5,EZ-Link Card Top-up,Transport
7/12/2025,-35,Cineplex - New Movie,Entertainment
7/12/2025,-65,Daiso Megastore Purchase,Shopping
6/12/2025,-15,Grab Ride - To Changi,Transport
6/12/2025,-180,SP Services Utilities Bill,Utilities
5/12/2025,-2.5,Kopitiam - Hawker Centre,Food & Dining
5/12/2025,-12,Spotify Premium Monthly,Subscriptions
4/12/2025,-500,CPF Voluntary Contribution,Savings & Investment
4/12/2025,-28,Watsons Pharmacy Purchase,Health & Fitness
3/12/2025,-18,Sheng Siong Supermarket,Groceries
3/12/2025,120,Received from Jane - Split bill,Income
2/12/2025,-12,Subway - Lunch Break,Food & Dining
2/12/2025,-19.9,Disney+ Hotstar Subscription,Subscriptions
1/12/2025,-60,Esso Station - Fuel,Transport
1/12/2025,-700,DBS Car Loan Payment,Transport
30/11/2025,-38,Cold Storage Singapore,Groceries
30/11/2025,-15,Deliveroo Order,Food & Dining
29/11/2025,-15,SMRT BUS FARE,Transport
29/11/2025,-300,AIA Insurance Premium,Insurance
28/11/2025,-12.5,Koufu Food Court,Food & Dining
28/11/2025,-450,Singapore Power Services,Utilities
27/11/2025,-5,FairPrice Express,Groceries
27/11/2025,1000,Transfer from Savings Account,Transfer
26/11/2025,-180,Amazon SG Purchase,Shopping
26/11/2025,-18,G-Shock Store Purchase,Shopping
25/11/2025,-22.5,Gojek Ride,Transport
25/11/2025,-15,Cathay Cineplexes,Entertainment
24/11/2025,-12,YouTube Premium Monthly,Subscriptions
24/11/2025,-250,Rental Deposit Payment,Housing
23/11/2025,-120,StarHub Mobile Bill,Utilities
23/11/2025,-4,Ya Kun Kaya Toast,Food & Dining
22/11/2025,-55,Watson's Drugstore,Health & Fitness
22/11/2025,-12,NTUC FairPrice - Lunch,Groceries
21/11/2025,-6.5,Boost Juice Bar,Food & Dining
21/11/2025,-150,Prudential Term Life,Insurance
20/11/2025,-30,Sentosa Entry Fee,Entertainment
20/11/2025,250,Divend Received from Unit Trust,Savings & Investment
19/11/2025,-15,NETS Payment - Hawker,Food & Dining
19/11/2025,-45,Zalora SG Order,Shopping
18/11/2025,-10,McDonald's - Ang Mo Kio,Food & Dining
18/11/2025,-120,Singtel Mobile Renewal,Utilities
17/11/2025,-50,Fitness First Class Fee,Health & Fitness
17/11/2025,-15,EZ-Link top-up,Transport
16/11/2025,-1500,OCBC Mortgage Payment,Housing
16/11/2025,-15,Burger King - Dinner,Food & Dining
15/11/2025,-2.5,Vending Machine Snack,Miscellaneous
15/11/2025,-30,SHELL PETROL STATION,Transport
14/11/2025,-12,HBO Go Subscription,Subscriptions
14/11/2025,-15,LTA ERP Charge,Transport
